"site","countFruitNumberPerPlant","permanentPlot","damage","year"
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",1,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
"BG",2,0,NA,2006
