"site","transect","position","plantNumber","countFruitsPerPlant","year"
"BG","I",1,"plant_1",1,2007
"BG","I",1,"plant_2",1,2007
"BG","I",1,"plant_3",2,2007
"BG","I",1,"plant_4",2,2007
"BG","I",1,"plant_5",1,2007
"BG","I",2,"plant_1",2,2007
"BG","I",3,"plant_1",4,2007
"BG","I",3,"plant_2",1,2007
"BG","I",4,"plant_1",4,2007
"BG","I",4,"plant_2",1,2007
"BG","I",5,"plant_1",5,2007
"BG","I",5,"plant_2",2,2007
"BG","I",5,"plant_3",1,2007
"BG","I",5,"plant_4",1,2007
"BG","I",5,"plant_5",2,2007
"BG","I",5,"plant_6",1,2007
"BG","I",5,"plant_7",3,2007
"BG","I",6,"plant_1",1,2007
"BG","I",6,"plant_2",2,2007
"BG","I",7,"plant_1",4,2007
"BG","I",7,"plant_2",1,2007
"BG","II",2,"plant_1",1,2007
"BG","II",2,"plant_2",2,2007
"BG","II",5,"plant_1",2,2007
"BG","III",1,"plant_1",5,2007
"BG","III",1,"plant_2",1,2007
"BG","III",1,"plant_3",2,2007
"BG","III",1,"plant_4",7,2007
"BG","III",1,"plant_5",3,2007
"BG","III",1,"plant_6",14,2007
"BG","III",2,"plant_1",2,2007
"BG","III",2,"plant_2",1,2007
"BG","III",4,"plant_1",1,2007
"BG","III",4,"plant_2",1,2007
"BG","III",5,"plant_1",2,2007
"BG","III",5,"plant_2",2,2007
"BG","III",5,"plant_3",2,2007
"BG","III",6,"plant_1",3,2007
"BG","III",6,"plant_2",2,2007
"BG","III",6,"plant_3",1,2007
"BG","IV",1,"plant_1",9,2007
"BG","IV",5,"plant_1",2,2007
"BR","I",2,"plant_1",3,2007
"BR","I",2,"plant_2",2,2007
"BR","I",3,"plant_1",1,2007
"BR","I",3,"plant_2",1,2007
"BR","I",4,"plant_1",1,2007
"BR","I",4,"plant_2",1,2007
"BR","I",6,"plant_1",1,2007
"BR","I",6,"plant_2",1,2007
"BR","I",6,"plant_3",2,2007
"BR","I",6,"plant_4",2,2007
"BR","I",6,"plant_5",2,2007
"BR","I",6,"plant_6",3,2007
"BR","I",7,"plant_1",1,2007
"BR","I",7,"plant_2",1,2007
"BR","I",7,"plant_3",1,2007
"BR","I",7,"plant_4",3,2007
"BR","I",7,"plant_5",3,2007
