"site","year","damaged","sdno"
"BG",2006,0,10
"BG",2006,0,17
"BG",2006,0,17
"BG",2006,0,18
"BG",2006,0,20
"BG",2006,0,22
"BG",2006,0,25
"BG",2006,0,27
"BG",2006,0,33
"BG",2006,0,34
"BG",2006,0,35
"BG",2006,0,36
"BG",2006,0,37
"BG",2006,0,37
"BG",2006,0,37
"BG",2006,0,38
"BG",2006,0,39
"BG",2006,0,42
"BG",2006,0,42
"BG",2006,0,43
"BG",2006,0,46
"BR",2006,0,20
"BR",2006,0,20
"BR",2006,0,21
"BR",2006,0,21
"BR",2006,0,23
"BR",2006,0,23
"BR",2006,0,28
"BR",2006,0,30
"BR",2006,0,31
"BR",2006,0,33
"BR",2006,0,34
"BR",2006,0,34
"BR",2006,0,36
"BR",2006,0,36
"BR",2006,0,37
"BR",2006,0,37
"BR",2006,0,41
"BR",2006,0,43
"BR",2006,0,46
"BR",2006,0,52
"CF",2006,0,11
"CF",2006,0,16
"CF",2006,0,19
"CF",2006,0,26
"CF",2006,0,28
"CF",2006,0,28
"CF",2006,0,29
"CF",2006,0,29
"CF",2006,0,31
"CF",2006,0,32
"CF",2006,0,33
"CF",2006,0,36
"CF",2006,0,38
"CF",2006,0,38
"CF",2006,0,38
"CF",2006,0,41
"CF",2006,0,41
"CF",2006,0,41
"CF",2006,0,42
"CF",2006,0,45
"CP3",2006,0,17
"CP3",2006,0,28
"CP3",2006,0,30
"CP3",2006,0,31
"CP3",2006,0,36
"CP3",2006,0,39
"CP3",2006,0,40
"CP3",2006,0,41
"CP3",2006,0,43
"CP3",2006,0,43
"CP3",2006,0,52
"CP3",2006,0,52
"CP3",2006,0,54
"CP3",2006,0,55
"CP3",2006,0,55
"CP3",2006,0,57
"CP3",2006,0,60
"CP3",2006,0,62
"CP3",2006,0,62
"CP3",2006,0,67
"DEM",2006,0,16
"DEM",2006,0,22
"DEM",2006,0,24
"DEM",2006,0,26
"DEM",2006,0,30
"DEM",2006,0,30
"DEM",2006,0,30
"DEM",2006,0,38
"DEM",2006,0,38
"DEM",2006,0,39
"DEM",2006,0,44
"DEM",2006,0,46
"DEM",2006,0,46
"DEM",2006,0,47
"DEM",2006,0,48
"DEM",2006,0,49
"DEM",2006,0,49
"DEM",2006,0,51
"DEM",2006,0,57
"DEM",2006,0,77
"DLW",2006,0,16
"DLW",2006,0,19
"DLW",2006,0,20
"DLW",2006,0,34
"DLW",2006,0,35
"DLW",2006,0,37
"DLW",2006,0,39
"DLW",2006,0,43
"DLW",2006,0,44
"DLW",2006,0,46
"DLW",2006,0,49
"DLW",2006,0,50
"DLW",2006,0,55
"DLW",2006,0,57
"DLW",2006,0,57
"DLW",2006,0,59
"DLW",2006,0,59
"DLW",2006,0,60
"DLW",2006,0,66
"DLW",2006,0,69
"EC",2006,0,13
"EC",2006,0,24
