"site","countUndamagedFruitNumberPerPlant","countDamagedFruitNumberPerPlant","permanentPlot","year"
"BG",1,0,1,2013
"BG",1,0,1,2013
"BG",1,0,1,2013
"BG",0,1,1,2013
"BG",0,1,1,2013
"BG",4,0,1,2013
"BG",3,0,1,2013
"BG",1,6,0,2013
"BG",0,7,0,2013
"BG",2,5,0,2013
"BG",6,5,0,2013
"BG",2,1,0,2013
"BG",1,4,0,2013
"BG",1,3,0,2013
"BG",5,1,0,2013
"BG",0,1,0,2013
"BG",0,1,0,2013
"BG",4,5,0,2013
"BG",4,1,0,2013
"BG",0,3,0,2013
"BG",3,1,0,2013
"BG",0,4,0,2013
"BG",1,3,0,2013
"BG",0,5,0,2013
"BG",2,1,0,2013
"BG",1,6,0,2013
"BG",0,7,0,2013
"BG",2,5,0,2013
"BG",6,5,0,2013
"BG",1,4,0,2013
"BG",1,3,0,2013
"BG",5,1,0,2013
"BG",0,1,0,2013
"BG",0,1,0,2013
"BG",4,5,0,2013
"BG",4,1,0,2013
"BG",0,3,0,2013
"BG",3,1,0,2013
"BG",0,4,0,2013
"BG",1,3,0,2013
"BG",0,5,0,2013
"BR",0,3,1,2013
"BR",1,2,1,2013
"BR",0,1,1,2013
"BR",1,2,1,2013
"BR",0,1,1,2013
"BR",0,1,1,2013
"BR",0,1,1,2013
"BR",1,0,1,2013
"BR",1,0,1,2013
"BR",2,0,1,2013
"BR",0,1,1,2013
"BR",3,1,1,2013
"BR",0,2,1,2013
"BR",0,1,1,2013
"BR",1,2,1,2013
"BR",0,2,1,2013
"BR",0,2,1,2013
"BR",0,1,1,2013
"BR",0,2,1,2013
"BR",0,3,1,2013
"BR",0,6,1,2013
"BR",0,5,1,2013
"BR",0,3,1,2013
"BR",0,2,1,2013
"BR",0,1,1,2013
"BR",0,2,1,2013
"BR",0,1,1,2013
"BR",0,2,1,2013
"BR",1,0,1,2013
"BR",7,0,0,2013
"BR",1,0,0,2013
"BR",0,1,0,2013
"BR",0,1,0,2013
"BR",1,0,0,2013
"BR",1,0,0,2013
"BR",2,0,0,2013
"BR",0,7,0,2013
"BR",1,1,0,2013
"BR",2,0,0,2013
"BR",0,2,0,2013
"BR",1,0,0,2013
"BR",2,6,0,2013
"BR",0,5,0,2013
"BR",2,2,0,2013
"BR",0,1,0,2013
"BR",0,2,0,2013
"BR",1,1,0,2013
"BR",1,7,0,2013
"BR",1,3,0,2013
"BR",0,1,0,2013
"BR",0,1,0,2013
"BR",0,1,0,2013
"BR",0,5,0,2013
"BR",0,2,0,2013
"BR",0,1,0,2013
"BR",0,2,0,2013
"BR",0,1,0,2013
"BR",1,1,0,2013
"BR",2,0,0,2013
"BR",0,4,0,2013
"BR",1,4,0,2013
"BR",0,4,0,2013
"BR",1,8,0,2013
"BR",6,4,0,2013
"BR",1,0,0,2013
"BR",6,2,0,2013
"BR",2,0,0,2013
"BR",1,0,0,2013
"BR",0,2,0,2013
"BR",0,2,0,2013
"BR",0,1,0,2013
"BR",1,3,0,2013
"BR",1,1,0,2013
"BR",2,1,0,2013
"BR",0,1,0,2013
"BR",0,5,0,2013
"BR",1,4,0,2013
"BR",0,4,0,2013
"BR",1,3,0,2013
"BR",2,0,0,2013
"BR",2,1,0,2013
"BR",2,2,0,2013
"BR",2,0,0,2013
"BR",8,0,0,2013
"BR",0,4,0,2013
"BR",1,1,0,2013
"BR",0,1,0,2013
"BR",0,1,0,2013
"BR",0,4,0,2013
"BR",0,1,0,2013
"BR",1,3,0,2013
"BR",1,7,0,2013
"BR",0,5,0,2013
"BR",0,2,0,2013
"BR",1,1,0,2013
"BR",0,1,0,2013
"BR",0,5,0,2013
"BR",2,2,0,2013
"BR",1,4,0,2013
"BR",1,8,0,2013
"BR",0,4,0,2013
"BR",6,4,0,2013
"BR",1,4,0,2013
"BR",0,2,0,2013
"BR",2,2,0,2013
"BR",0,1,0,2013
"BR",1,3,0,2013
"BR",0,5,0,2013
"BR",1,1,0,2013
"BR",6,2,0,2013
"BR",1,3,0,2013
"CF",2,0,1,2013
"CF",1,0,1,2013
"CF",1,0,1,2013
"CF",1,0,1,2013
"CF",5,0,1,2013
"CF",0,2,1,2013
"CF",0,1,1,2013
"CF",0,1,1,2013
"CF",1,1,1,2013
"CF",1,0,1,2013
"CF",1,0,1,2013
"CF",2,0,1,2013
"CF",0,2,0,2013
"CF",2,1,0,2013
"CF",1,0,0,2013
"CF",1,2,0,2013
"CF",3,5,0,2013
"CF",0,3,0,2013
"CF",0,1,0,2013
"CF",2,0,0,2013
"CF",3,2,0,2013
"CF",0,1,0,2013
"CF",0,3,0,2013
"CF",0,1,0,2013
"CF",2,0,0,2013
"CF",4,0,0,2013
"CF",4,0,0,2013
"CF",2,0,0,2013
"CF",2,0,0,2013
"CF",0,1,0,2013
"CF",4,0,0,2013
"CF",4,1,0,2013
"CF",3,0,0,2013
"CF",6,0,0,2013
"CF",7,1,0,2013
"CF",3,0,0,2013
"CF",6,0,0,2013
"CF",1,1,0,2013
"CF",1,2,0,2013
"CF",0,12,0,2013
"CF",13,3,0,2013
"CF",2,4,0,2013
"CF",10,4,0,2013
"CF",0,2,0,2013
"CF",0,1,0,2013
"CF",0,2,0,2013
"CF",1,3,0,2013
"CF",0,4,0,2013
"CF",3,4,0,2013
"CF",13,3,0,2013
"CF",3,4,0,2013
"CF",0,4,0,2013
"CF",1,3,0,2013
"CF",0,2,0,2013
"CF",0,2,0,2013
"CF",10,4,0,2013
"CF",2,4,0,2013
"CF",0,12,0,2013
"CF",1,1,0,2013
"CF",1,2,0,2013
"CF",7,1,0,2013
"CF",0,1,0,2013
"CF",0,1,0,2013
"CF",0,3,0,2013
"CF",0,1,0,2013
"CF",3,2,0,2013
"CF",0,2,0,2013
"CF",0,3,0,2013
"CF",3,5,0,2013
"CF",1,2,0,2013
"CP3",1,0,1,2013
"CP3",1,0,1,2013
"CP3",3,0,0,2013
"CP3",1,0,0,2013
"CP3",3,0,0,2013
"CP3",7,0,0,2013
"CP3",2,0,0,2013
"CP3",2,0,0,2013
"CP3",2,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",3,0,0,2013
"CP3",2,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",2,0,0,2013
"CP3",1,0,0,2013
"CP3",2,0,0,2013
"CP3",2,0,0,2013
"CP3",1,0,0,2013
"CP3",13,0,0,2013
"CP3",1,0,0,2013
"CP3",5,0,0,2013
"CP3",7,0,0,2013
"CP3",4,0,0,2013
"CP3",33,0,0,2013
"CP3",6,0,0,2013
"CP3",15,1,0,2013
"CP3",3,2,0,2013
"CP3",9,0,0,2013
"CP3",18,0,0,2013
"CP3",31,0,0,2013
"CP3",17,0,0,2013
"CP3",5,0,0,2013
"CP3",4,0,0,2013
"CP3",8,0,0,2013
"CP3",13,0,0,2013
"CP3",43,6,0,2013
"CP3",5,0,0,2013
"CP3",20,1,0,2013
"CP3",12,3,0,2013
"CP3",5,0,0,2013
"CP3",10,0,0,2013
"CP3",4,0,0,2013
"CP3",9,1,0,2013
"CP3",10,3,0,2013
"CP3",10,0,0,2013
"CP3",11,1,0,2013
"CP3",1,1,0,2013
"CP3",31,0,0,2013
"CP3",31,0,0,2013
"CP3",6,0,0,2013
"CP3",6,0,0,2013
"CP3",4,0,0,2013
"CP3",51,0,0,2013
"CP3",7,0,0,2013
"CP3",2,0,0,2013
"CP3",5,0,0,2013
"CP3",14,12,0,2013
"CP3",7,0,0,2013
"CP3",33,0,0,2013
"CP3",5,0,0,2013
"CP3",49,0,0,2013
"CP3",8,0,0,2013
"CP3",11,1,0,2013
"CP3",5,2,0,2013
"CP3",1,0,0,2013
"CP3",9,0,0,2013
"CP3",19,0,0,2013
"CP3",50,0,0,2013
"CP3",8,0,0,2013
"CP3",1,0,0,2013
"CP3",4,0,0,2013
"CP3",4,0,0,2013
"CP3",38,2,0,2013
"CP3",21,0,0,2013
"CP3",13,0,0,2013
"CP3",7,0,0,2013
"CP3",1,0,0,2013
"CP3",24,0,0,2013
"CP3",4,0,0,2013
"CP3",23,9,0,2013
"CP3",13,1,0,2013
"CP3",12,5,0,2013
"CP3",14,1,0,2013
"CP3",12,0,0,2013
"CP3",9,0,0,2013
"CP3",18,0,0,2013
"CP3",13,2,0,2013
"CP3",11,0,0,2013
"CP3",10,2,0,2013
"CP3",3,9,0,2013
"CP3",17,8,0,2013
"CP3",6,0,0,2013
"CP3",19,0,0,2013
"CP3",14,0,0,2013
"CP3",8,8,0,2013
"CP3",7,0,0,2013
"CP3",7,9,0,2013
"CP3",6,2,0,2013
"CP3",10,0,0,2013
"CP3",17,0,0,2013
"CP3",1,7,0,2013
"CP3",2,4,0,2013
"CP3",2,3,0,2013
"CP3",5,0,0,2013
"CP3",4,0,0,2013
"CP3",9,0,0,2013
"CP3",16,2,0,2013
"CP3",5,4,0,2013
"CP3",16,1,0,2013
"CP3",19,0,0,2013
"CP3",9,0,0,2013
"CP3",5,0,0,2013
"CP3",9,0,0,2013
"CP3",1,4,0,2013
"CP3",7,0,0,2013
"CP3",2,0,0,2013
"CP3",6,1,0,2013
"CP3",9,0,0,2013
"CP3",5,0,0,2013
"CP3",3,0,0,2013
"CP3",3,0,0,2013
"CP3",1,0,0,2013
"CP3",3,0,0,2013
"CP3",7,0,0,2013
"CP3",2,0,0,2013
"CP3",2,0,0,2013
"CP3",2,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",3,0,0,2013
"CP3",2,0,0,2013
"CP3",1,0,0,2013
"CP3",1,0,0,2013
"CP3",2,0,0,2013
"CP3",1,0,0,2013
"CP3",2,0,0,2013
"CP3",2,0,0,2013
"CP3",1,0,0,2013
"CP3",13,0,0,2013
"CP3",1,0,0,2013
"CP3",5,0,0,2013
"CP3",7,0,0,2013
"CP3",4,0,0,2013
"DEM",0,1,1,2013
