"site","transect","position","plantNumber","countUndamagedFruitsPerPlant","year","countDamagedFruitsPerPlant"
"BG","I",4,"plant_1",1,2013,0
"BG","III",4,"plant_1",1,2013,0
"BG","III",6,"plant_1",1,2013,0
"BG","III",6,"plant_2",0,2013,1
"BG","III",7,"plant_1",0,2013,1
"BG","III",7,"plant_2",4,2013,0
"BG","III",7,"plant_3",3,2013,0
"BR","I",1,"plant_1",0,2013,3
"BR","I",1,"plant_2",1,2013,2
"BR","I",2,"plant_1",0,2013,1
"BR","I",2,"plant_2",0,2013,1
"BR","I",2,"plant_3",0,2013,1
"BR","I",2,"plant_4",1,2013,0
"BR","I",3,"plant_1",0,2013,2
"BR","I",3,"plant_2",2,2013,6
"BR","I",3,"plant_3",0,2013,2
"BR","I",3,"plant_4",5,2013,1
"BR","I",3,"plant_5",3,2013,7
"BR","I",5,"plant_1",1,2013,0
"BR","I",7,"plant_1",2,2013,0
"BR","II",1,"plant_1",0,2013,1
"BR","II",3,"plant_1",3,2013,1
"BR","II",4,"plant_1",0,2013,2
"BR","II",4,"plant_2",0,2013,1
"BR","II",4,"plant_3",1,2013,2
"BR","II",4,"plant_4",0,2013,2
"BR","II",5,"plant_1",0,2013,2
"BR","II",6,"plant_1",0,2013,1
"BR","II",8,"plant_1",0,2013,2
"BR","III",5,"plant_1",0,2013,3
"BR","III",7,"plant_1",0,2013,6
"BR","III",7,"plant_2",0,2013,5
"BR","III",7,"plant_3",0,2013,3
"BR","III",7,"plant_4",0,2013,2
"BR","III",7,"plant_5",0,2013,1
"BR","III",7,"plant_6",0,2013,2
"BR","III",7,"plant_7",0,2013,1
"BR","III",8,"plant_1",0,2013,2
"BR","IV",5,"plant_1",1,2013,0
"CF","I",3,"plant_1",2,2013,0
"CF","I",6,"plant_1",1,2013,0
"CF","II",2,"plant_1",1,2013,0
"CF","II",3,"plant_1",1,2013,0
"CF","II",7,"plant_1",1,2013,0
"CF","III",1,"plant_1",5,2013,0
"CF","III",2,"plant_1",0,2013,2
"CF","III",6,"plant_1",0,2013,1
"CF","III",6,"plant_2",0,2013,1
"CF","III",6,"plant_3",1,2013,1
"CF","IV",3,"plant_1",1,2013,0
"CF","IV",6,"plant_1",1,2013,0
"CF","IV",6,"plant_2",2,2013,0
"CP3","II",7,"plant_1",1,2013,0
"CP3","II",7,"plant_2",1,2013,0
"DEM","III",1,"plant_1",1,2013,0
"DEM","III",1,"plant_2",1,2013,0
"DEM","III",1,"plant_3",1,2013,0
"DEM","III",1,"plant_4",1,2013,0
"DEM","III",1,"plant_5",1,2013,0
"DEM","III",2,"plant_1",1,2013,0
"DEM","III",3,"plant_1",0,2013,1
"DEM","IV",2,"plant_1",4,2013,0
"DEM","IV",2,"plant_2",2,2013,0
"DEM","IV",3,"plant_1",1,2013,0
"DEM","IV",4,"plant_1",1,2013,0
