"site","transect","position","bagNo","round","yearStart","age","yearData","seedlingJan","intactJan","totalJan","intactOct"
"BG","III",2,1,1,2005,1,2006,6,83,89,NA
"BG","I",6,3,1,2005,1,2006,17,74,91,54
"BG","II",8,8,1,2005,1,2006,6,65,71,61
"BG","I",3,11,1,2005,1,2006,18,71,89,49
"BG","II",1,15,1,2005,1,2006,2,80,82,63
"BG","IV",3,18,1,2005,1,2006,8,92,100,81
"BG","IV",1,20,1,2005,1,2006,13,68,81,53
"BG","IV",4,25,1,2005,1,2006,7,93,100,NA
"BG","III",7,28,1,2005,1,2006,6,51,57,NA
"BG","II",5,30,1,2005,1,2006,16,64,80,60
"BR","I",7,5,1,2005,1,2006,15,85,100,70
"BR","IV",4,8,1,2005,1,2006,9,91,100,44
"BR","III",4,10,1,2005,1,2006,11,89,100,78
"BR","II",1,11,1,2005,1,2006,2,98,100,84
"BR","I",3,14,1,2005,1,2006,1,88,89,58
"BR","II",4,16,1,2005,1,2006,18,63,81,33
"BR","IV",3,19,1,2005,1,2006,15,85,100,44
"BR","III",7,23,1,2005,1,2006,11,88,99,40
"BR","III",8,24,1,2005,1,2006,13,87,100,65
"BR","II",6,25,1,2005,1,2006,4,81,85,10
"CF","III",1,8,1,2005,1,2006,12,82,94,62
"CF","III",3,9,1,2005,1,2006,11,85,96,68
"CF","II",4,12,1,2005,1,2006,3,86,89,74
"CF","IV",1,17,1,2005,1,2006,17,56,73,19
"CF","IV",3,18,1,2005,1,2006,12,80,92,17
"CF","II",3,22,1,2005,1,2006,11,62,73,56
"CF","IV",5,24,1,2005,1,2006,10,67,77,47
"CF","I",4,26,1,2005,1,2006,0,53,53,44
"CF","II",2,29,1,2005,1,2006,4,68,72,38
"CF","I",7,30,1,2005,1,2006,4,82,86,39
"CP3","I",1,3,1,2005,1,2006,8,54,62,41
"CP3","III",5,7,1,2005,1,2006,20,51,71,44
"CP3","IV",2,11,1,2005,1,2006,12,88,100,NA
"CP3","IV",3,13,1,2005,1,2006,2,98,100,79
"CP3","I",5,14,1,2005,1,2006,12,50,62,45
"CP3","IV",1,15,1,2005,1,2006,4,74,78,NA
"CP3","II",8,17,1,2005,1,2006,20,53,73,32
"CP3","III",4,19,1,2005,1,2006,16,65,81,NA
"CP3","II",2,24,1,2005,1,2006,7,77,84,63
"CP3","II",4,28,1,2005,1,2006,7,66,73,54
"DEM","I",6,2,1,2005,1,2006,11,80,91,60
"DEM","III",7,4,1,2005,1,2006,7,92,99,74
"DEM","II",7,11,1,2005,1,2006,0,55,55,51
"DEM","I",1,13,1,2005,1,2006,1,77,78,56
"DEM","I",5,14,1,2005,1,2006,7,47,54,38
"DEM","II",8,15,1,2005,1,2006,11,36,47,26
"DEM","III",3,16,1,2005,1,2006,8,40,48,28
"DEM","III",8,19,1,2005,1,2006,11,87,98,NA
"DEM","II",3,21,1,2005,1,2006,5,53,58,24
"DLW","II",3,2,1,2005,1,2006,16,70,86,57
"DLW","II",2,4,1,2005,1,2006,16,78,94,65
"DLW","V",3,6,1,2005,1,2006,11,42,53,11
"DLW","IV",6,10,1,2005,1,2006,12,46,58,21
"DLW","III",1,12,1,2005,1,2006,11,70,81,NA
"DLW","IV",5,13,1,2005,1,2006,2,68,70,44
"DLW","I",4,23,1,2005,1,2006,18,50,68,30
"DLW","V",2,24,1,2005,1,2006,20,68,88,49
"DLW","I",5,26,1,2005,1,2006,6,73,79,13
"DLW","III",5,29,1,2005,1,2006,3,69,72,59
"EC","III",5,2,1,2005,1,2006,1,7,8,5
"EC","IV",3,9,1,2005,1,2006,4,38,42,24
"EC","IV",4,11,1,2005,1,2006,1,27,28,20
"EC","IV",7,14,1,2005,1,2006,17,58,75,35
"EC","IV",6,17,1,2005,1,2006,16,82,98,55
"EC","I",5,18,1,2005,1,2006,5,38,43,NA
"EC","II",7,21,1,2005,1,2006,18,35,53,NA
"EC","II",1,23,1,2005,1,2006,10,88,98,64
"EC","III",2,24,1,2005,1,2006,8,54,62,42
"EC","II",3,25,1,2005,1,2006,10,43,53,27
"EC","I",7,27,1,2005,1,2006,2,38,40,22
"FR","I",2,1,1,2005,1,2006,16,64,80,34
"FR","IV",1,4,1,2005,1,2006,6,34,40,26
"FR","II",7,7,1,2005,1,2006,13,64,77,51
"FR","I",6,8,1,2005,1,2006,12,71,83,37
"FR","II",6,12,1,2005,1,2006,17,66,83,NA
"FR","I",5,15,1,2005,1,2006,15,76,91,49
"FR","II",4,27,1,2005,1,2006,6,94,100,88
"FR","IV",7,28,1,2005,1,2006,0,66,66,44
"FR","I",4,29,1,2005,1,2006,18,59,77,35
"FR","III",1,30,1,2005,1,2006,13,62,75,38
"GCN","III",6,1,1,2005,1,2006,17,4,21,4
"GCN","IV",4,3,1,2005,1,2006,15,37,52,25
"GCN","IV",2,4,1,2005,1,2006,6,40,46,25
"GCN","I",4,5,1,2005,1,2006,6,9,15,6
"GCN","I",1,8,1,2005,1,2006,9,10,19,8
"GCN","III",2,13,1,2005,1,2006,8,15,23,7
"GCN","II",6,20,1,2005,1,2006,1,23,24,20
"GCN","III",5,23,1,2005,1,2006,10,37,47,28
"GCN","II",2,27,1,2005,1,2006,3,19,22,4
"GCN","IV",8,29,1,2005,1,2006,10,74,84,25
"KYE","III",6,1,1,2005,1,2006,0,58,58,55
"KYE","I",3,3,1,2005,1,2006,20,71,91,56
"KYE","I",1,5,1,2005,1,2006,18,69,87,55
"KYE","II",6,8,1,2005,1,2006,10,36,46,36
"KYE","II",1,12,1,2005,1,2006,1,15,16,9
"KYE","IV",5,15,1,2005,1,2006,11,67,78,47
"KYE","I",6,19,1,2005,1,2006,18,63,81,44
"KYE","IV",2,20,1,2005,1,2006,14,63,77,52
"KYE","II",8,26,1,2005,1,2006,5,95,100,74
"KYE","III",2,27,1,2005,1,2006,11,11,22,8
"LCE","III",1,3,1,2005,1,2006,15,79,94,25
"LCE","II",6,6,1,2005,1,2006,11,72,83,54
"LCE","III",3,7,1,2005,1,2006,18,49,67,38
"LCE","I",4,8,1,2005,1,2006,16,18,34,3
"LCE","II",4,9,1,2005,1,2006,12,53,65,15
"LCE","I",2,12,1,2005,1,2006,17,83,100,59
"LCE","IV",4,14,1,2005,1,2006,20,46,66,6
"LCE","I",6,15,1,2005,1,2006,7,81,88,70
"LCE","III",8,19,1,2005,1,2006,1,46,47,12
"LCE","IV",7,24,1,2005,1,2006,12,68,80,8
"LCW","III",7,1,1,2005,1,2006,11,46,57,41
"LCW","III",8,5,1,2005,1,2006,7,75,82,31
"LCW","I",2,6,1,2005,1,2006,14,86,100,54
"LCW","I",5,8,1,2005,1,2006,14,80,94,34
"LCW","IV",3,14,1,2005,1,2006,6,19,25,13
"LCW","I",1,15,1,2005,1,2006,15,62,77,37
"LCW","II",1,17,1,2005,1,2006,5,95,100,89
"LCW","III",4,26,1,2005,1,2006,4,64,68,32
"LCW","IV",7,27,1,2005,1,2006,13,66,79,61
"LCW","II",5,28,1,2005,1,2006,14,46,60,24
