"site","transect","position","year","seedlingNumber","fruitplNumber"
"BG","I",1,2006,1,0
"BG","I",1,2007,9,5
"BG","I",1,2008,7,4
"BG","I",1,2009,20,1
"BG","I",1,2010,9,8
"BG","I",1,2011,29,10
"BG","I",1,2012,1,2
"BG","I",1,2013,1,0
"BG","I",1,2014,0,0
"BG","I",1,2015,22,0
"BG","I",1,2016,0,0
"BG","I",1,2017,10,1
"BG","I",1,2018,4,1
"BG","I",1,2019,34,11
"BG","I",1,2020,8,1
"BG","I",1,2021,2,0
"BG","I",2,2006,17,0
"BG","I",2,2007,4,1
"BG","I",2,2008,3,0
"BG","I",2,2009,0,0
"BG","I",2,2010,2,3
"BG","I",2,2011,7,3
"BG","I",2,2012,0,0
"BG","I",2,2013,0,0
"BG","I",2,2014,0,0
"BG","I",2,2015,3,0
"BG","I",2,2016,0,0
"BG","I",2,2017,20,0
"BG","I",2,2018,0,0
"BG","I",2,2019,25,2
"BG","I",2,2020,7,7
"BG","I",2,2021,0,0
"BG","I",3,2006,23,1
"BG","I",3,2007,2,2
"BG","I",3,2008,33,13
"BG","I",3,2009,45,1
"BG","I",3,2010,38,24
"BG","I",3,2011,44,21
"BG","I",3,2012,2,0
"BG","I",3,2013,1,0
"BG","I",3,2014,0,0
"BG","I",3,2015,1,0
"BG","I",3,2016,0,0
"BG","I",3,2017,1,1
"BG","I",3,2018,0,6
"BG","I",3,2019,134,21
"BG","I",3,2020,50,27
"BG","I",3,2021,2,1
"BG","I",4,2006,10,0
"BG","I",4,2007,5,2
"BG","I",4,2008,8,12
"BG","I",4,2009,89,12
"BG","I",4,2010,30,28
"BG","I",4,2011,94,11
"BG","I",4,2012,21,2
"BG","I",4,2013,10,1
"BG","I",4,2014,0,0
"BG","I",4,2015,31,0
"BG","I",4,2016,2,1
"BG","I",4,2017,25,0
"BG","I",4,2018,5,8
"BG","I",4,2019,91,31
"BG","I",4,2020,79,10
"BG","I",4,2021,2,3
"BG","I",5,2006,14,0
"BG","I",5,2007,15,7
"BG","I",5,2008,54,14
"BG","I",5,2009,107,11
"BG","I",5,2010,46,15
"BG","I",5,2011,71,5
"BG","I",5,2012,6,2
"BG","I",5,2013,7,0
"BG","I",5,2014,2,1
"BG","I",5,2015,71,0
"BG","I",5,2016,0,0
"BG","I",5,2017,17,0
"BG","I",5,2018,0,1
"BG","I",5,2019,157,33
"BG","I",5,2020,239,22
"BG","I",5,2021,18,3
"BG","I",6,2006,NA,3
"BG","I",6,2007,3,2
"BG","I",6,2008,4,2
"BG","I",6,2009,32,0
"BG","I",6,2010,5,13
"BG","I",6,2011,71,4
"BG","I",6,2012,8,0
"BG","I",6,2013,2,0
"BG","I",6,2014,0,0
"BG","I",6,2015,45,0
"BG","I",6,2016,9,0
"BG","I",6,2017,3,0
"BG","I",6,2018,0,3
"BG","I",6,2019,51,19
"BG","I",6,2020,136,16
"BG","I",6,2021,0,0
"BG","I",7,2006,NA,0
"BG","I",7,2007,5,2
"BG","I",7,2008,45,16
"BG","I",7,2009,139,0
"BG","I",7,2010,6,5
"BG","I",7,2011,41,1
"BG","I",7,2012,1,0
"BG","I",7,2013,3,0
"BG","I",7,2014,0,0
"BG","I",7,2015,19,0
"BG","I",7,2016,0,0
"BG","I",7,2017,2,1
