"site","bagNo","round","age","block","germStart","germCount","viabStart","viabStain"
"BG",3,1,1,7,15,0,15,9
"BG",3,1,1,14,15,1,10,3
"BG",3,1,1,15,15,1,10,6
"BG",8,1,1,1,15,9,6,4
"BG",8,1,1,11,15,11,4,4
"BG",8,1,1,16,15,4,10,8
"BG",11,1,1,5,15,4,10,9
"BG",11,1,1,8,15,2,13,12
"BG",15,1,1,6,15,0,10,9
"BG",15,1,1,9,15,2,12,10
"BG",18,1,1,4,15,3,10,8
"BG",18,1,1,13,15,8,7,5
"BG",20,1,1,2,15,2,10,5
"BG",20,1,1,10,15,2,12,8
"BG",30,1,1,3,15,0,10,8
"BG",30,1,1,12,15,2,12,6
"BR",5,1,1,1,15,5,10,7
"BR",5,1,1,12,15,12,3,3
"BR",8,1,1,8,15,2,13,13
"BR",8,1,1,16,15,4,10,9
"BR",10,1,1,2,15,10,5,4
"BR",11,1,1,6,15,3,10,10
"BR",11,1,1,11,15,13,2,2
"BR",14,1,1,10,15,10,5,3
"BR",16,1,1,7,15,3,12,11
"BR",16,1,1,13,15,6,9,7
"BR",19,1,1,3,15,0,10,10
"BR",19,1,1,15,15,3,10,10
"BR",23,1,1,5,15,1,10,9
"BR",23,1,1,14,15,5,10,6
"BR",24,1,1,9,15,6,9,3
"BR",25,1,1,4,9,0,9,2
"CF",8,1,1,5,15,7,9,8
"CF",8,1,1,11,15,10,5,0
"CF",9,1,1,1,15,10,5,5
"CF",12,1,1,9,15,0,12,0
"CF",12,1,1,15,15,0,10,1
"CF",17,1,1,6,15,7,8,3
"CF",17,1,1,13,11,6,5,1
"CF",18,1,1,4,15,0,10,1
"CF",22,1,1,7,15,3,12,1
"CF",22,1,1,14,15,0,10,0
"CF",24,1,1,3,15,3,10,7
"CF",24,1,1,12,15,6,9,2
"CF",26,1,1,8,15,5,10,5
"CF",26,1,1,16,15,2,10,4
"CF",29,1,1,2,15,10,5,4
"CF",30,1,1,10,15,3,12,0
"CP3",3,1,1,1,15,5,10,10
"CP3",3,1,1,13,15,2,10,10
"CP3",7,1,1,6,15,3,10,9
"CP3",7,1,1,8,15,5,10,7
"CP3",13,1,1,4,15,2,10,9
"CP3",13,1,1,9,15,3,12,12
"CP3",13,1,1,15,15,5,10,10
"CP3",14,1,1,5,15,2,10,10
"CP3",14,1,1,14,15,8,7,6
"CP3",17,1,1,3,15,2,10,7
"CP3",17,1,1,10,15,9,4,3
"CP3",24,1,1,2,15,10,5,4
"CP3",24,1,1,12,15,10,5,5
"CP3",24,1,1,16,15,7,8,7
"CP3",28,1,1,7,15,8,7,7
"CP3",28,1,1,11,15,10,4,3
"DEM",2,1,1,3,15,12,3,3
"DEM",2,1,1,10,15,10,5,0
"DEM",4,1,1,8,15,5,10,3
"DEM",4,1,1,13,15,3,10,2
"DEM",11,1,1,6,15,0,9,7
"DEM",11,1,1,9,10,4,6,6
"DEM",13,1,1,4,15,6,9,8
"DEM",13,1,1,11,15,14,1,0
"DEM",14,1,1,1,15,1,10,3
"DEM",14,1,1,12,15,5,10,6
"DEM",15,1,1,2,15,9,6,6
"DEM",15,1,1,15,15,8,7,6
"DEM",15,1,1,16,12,8,4,4
"DEM",16,1,1,5,15,8,7,7
"DEM",21,1,1,7,15,2,13,0
"DEM",21,1,1,14,9,0,8,0
"DLW",2,1,1,1,15,3,10,8
"DLW",2,1,1,14,15,3,10,7
"DLW",4,1,1,3,15,10,5,3
"DLW",4,1,1,11,15,12,3,0
"DLW",6,1,1,8,11,4,7,7
"DLW",10,1,1,4,15,2,10,5
"DLW",10,1,1,12,6,4,2,1
"DLW",13,1,1,2,15,5,10,9
"DLW",13,1,1,15,15,5,10,9
"DLW",13,1,1,16,15,10,5,3
"DLW",23,1,1,7,2,2,0,NA
"DLW",24,1,1,6,15,2,10,9
"DLW",24,1,1,13,15,3,10,7
"DLW",26,1,1,9,13,1,12,9
"DLW",29,1,1,5,15,6,10,9
"DLW",29,1,1,10,14,5,10,4
"EC",2,1,1,3,15,0,10,5
"EC",9,1,1,5,15,1,10,8
"EC",9,1,1,13,7,2,5,4
"EC",11,1,1,8,15,10,5,4
"EC",11,1,1,12,6,5,1,1
"EC",14,1,1,6,15,1,10,9
"EC",14,1,1,10,15,6,9,1
"EC",17,1,1,4,15,2,10,2
"EC",23,1,1,9,15,3,12,10
"EC",23,1,1,11,15,9,6,5
"EC",24,1,1,7,15,1,13,6
"EC",24,1,1,16,15,4,10,4
"EC",25,1,1,1,15,8,7,7
"EC",25,1,1,15,11,2,9,5
"EC",27,1,1,2,15,5,10,6
"EC",27,1,1,14,6,0,6,3
"FR",1,1,1,9,15,10,6,4
"FR",4,1,1,7,15,8,7,6
"FR",4,1,1,11,11,10,1,1
"FR",7,1,1,4,15,4,10,9
"FR",7,1,1,13,15,11,4,4
"FR",8,1,1,1,15,2,10,9
"FR",8,1,1,14,15,4,10,8
